Parcel(s),Building Name,Building Address,Postal Code,Floor Area,Property Type - Self Selected,Full.Address,Benchmark 2017 Status,2017 Reason for Exemption,PIM Link,Benchmark 2016 Status,2016 Reason for Exemption,Benchmark 2015 Status,2015 Reason for Exemption,Benchmark 2014 Status,2014 Reason for Exemption,Benchmark 2013 Status,2013 Reason for Exemption,Benchmark 2012 Status,2012 Reason for Exemption,Benchmark 2011 Status,2011 Reason for Exemption,Benchmark 2010 Status,2010 Reason for Exemption,Energy Audit Due Date,Energy Audit Status,Next Audit Due Date,Next Energy Audit Status,2017 ENERGY STAR Score,2017 Site EUI (kBtu/ft2),2017 Source EUI (kBtu/ft2),2017 Percent Better than National Median Site EUI,2017 Percentage Better than National Median Source EUI,2017 Total GHG Emissions (Metric Tons CO2e),2017 Total GHG Emissions Intensity (kgCO2e/ft2),2017 Weather Normalized Site EUI (kBtu/ft2),2017 Weather Normalized Source EUI (kBtu/ft2),2016 ENERGY STAR Score,2016 Site EUI (kBtu/ft2),2016 Source EUI (kBtu/ft2),2016 Percent Better than National Median Site EUI,2016 Percentage Better than National Median Source EUI,2016 Total GHG Emissions (Metric Tons CO2e),2016 Total GHG Emissions Intensity (kgCO2e/ft2),2016 Weather Normalized Site EUI (kBtu/ft2),2016 Weather Normalized Source EUI (kBtu/ft2),2015 ENERGY STAR Score,2015 Site EUI (kBtu/ft2),2015 Source EUI (kBtu/ft2),2015 Percent Better than National Median Site EUI,2015 Percentage Better than National Median Source EUI,2015 Total GHG Emissions (Metric Tons CO2e),2015 Total GHG Emissions Intensity (kgCO2e/ft2),2015 Weather Normalized Site EUI (kBtu/ft2),2015 Weather Normalized Source EUI (kBtu/ft2),2014 ENERGY STAR Score,2014 Site EUI (kBtu/ft2),2014 Source EUI (kBtu/ft2),2014 Percent Better than National Median Site EUI,2014 Percent Better than National Median Source EUI,2014 Total GHG Emissions (Metric Tons CO2e),2014 Total GHG Emissions Intensity (kgCO2e/ft2),2014 Weather Normalized Site EUI (kBtu/ft2),2014 Weather Normalized Source EUI (kBtu/ft2),2013 ENERGY STAR Score,2013 Site EUI (kBtu/ft2),2013 Source EUI (kBtu/ft2),2013 Percent Better than National Median Site EUI,2013 Percent Better than National Median Source EUI,2013 Total GHG Emissions (Metric Tons CO2e),2013 Total GHG Emissions Intensity (kgCO2e/ft2),2013 Weather Normalized Site EUI (kBtu/ft2),2013 Weather Normalized Source EUI (kBtu/ft2),2012 ENERGY STAR Score,2012 Site EUI (kBtu/ft2),2012 Source EUI (kBtu/ft2),2012 Percent Better than National Median Site EUI,2012 Percent Better than National Median Source EUI,2012 Total GHG Emissions (Metric Tons CO2e),2012 Total GHG Emissions Intensity (kgCO2e/ft2),2012 Weather Normalized Site EUI (kBtu/ft2),2012 Weather Normalized Source EUI (kBtu/sq.ft),2011 ENERGY STAR Score,2011 Site EUI (kBtu/ft2),2011 Source EUI (kBtu/ft2),2011 Percent Better than National Median Site EUI,2011 Percent Better than National Median Source EUI,2011 Total GHG Emissions (Metric Tons CO2e),2011 Total GHG Emissions Intensity (kgCO2e/ft2),2011 Weather Normalized Site EUI (kBtu/ft2),2011 Weather Normalized Source EUI (kBtu/ft2)
0224/002,843 STOCKTON ST,843 STOCKTON ST,94108,12264,K-12 School,"843 STOCKTON ST
SAN FRANCISCO, CA 94108
(37.793791, -122.407848)",Complied,,http://propertymap.sfplanning.org/?&search=0224/002,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,,,Complied,2013-04-01T00:00:00,,4.5,14.2,-90,-90,4.2,0.3,4.5,14.2,,4.3,13.6,-90.4,-90.4,4,0.3,4.3,13.6,,4.3,13.3,-90.6,-90.6,4,0.3,4.3,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0348/026,201 GOLDEN GATE AVE,201 GOLDEN GATE AVE,94102,38795,Office,"201 GOLDEN GATE AVE
SAN FRANCISCO, CA 94102
(37.78182, -122.41419)",Complied,,http://propertymap.sfplanning.org/?&search=0348/026,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,,,Complied,2014-04-01T00:00:00,98,23.9,50,-63.4,-63.4,65.2,1.7,26.1,52.6,97,25.5,53.3,-60.7,-60.7,74.6,1.9,29.6,58.2,94,33.2,63.1,-53.2,-53.2,92.3,2.4,36.3,66.9,96,25.7,53.9,-58.1,-58.1,72.8,1.9,32.2,61.7,94,36.3,65.7,-51.4,-51.4,99.6,2.6,33.4,62.3,96,31.3,59.6,-56,-56,87,2.2,29.3,57.2,,,,,,,,,
3958/001G,398 KANSAS ST,398 KANSAS ST,94103,12000,Office,"398 KANSAS ST
SAN FRANCISCO, CA 94103
(37.764947, -122.403547)",Complied,,http://propertymap.sfplanning.org/?&search=3958/001G,Complied,,Complied,,Complied,,Exempt,,Exempt,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,,,Complied,2013-04-01T00:00:00,,108.4,320.2,116.3,116.3,96,8,109.9,319.9,,106.5,311.9,110.7,110.7,94,7.8,112.9,321.7,26,76.7,231.7,,,91.9,6.1,77.3,232.4,39,65.2,197.2,12.1,12.1,78.2,5.2,56.7,170.5,53,62.4,176.5,-3.4,-3.4,77.4,5.2,60.7,174.7,,,,,,,,,,,,,,,,,,
3966/002,375 Alabama Street,375 ALABAMA ST,94110,128800,Office,"375 ALABAMA ST
SAN FRANCISCO, CA 94110
(37.764537, -122.412325)",Complied,,http://propertymap.sfplanning.org/?&search=3966/002,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt - ENERGY STAR,2018-04-01T00:00:00,Complied,2012-11-15T00:00:00,95,29.5,70,-54,-54,235.7,2,31,71.5,97,26.4,60.5,-60,-60,228.3,1.9,30.2,64.4,97,25.9,61.7,-59,-59,218.3,1.8,27.5,63.4,97,25.6,61.9,-58.3,-58.3,217.3,1.8,25.6,61.9,95,29.3,68.8,-55.6,-55.7,258.8,2.2,27.6,67.1,,30.1,72.8,-55.8,,269.39,,31.3,78.9,,33.6,,-49.3,,304.59,,31.7,
1691/019,850 La Playa,850 LA PLAYA,94121,97422,Supermarket/Grocery Store,"850 LA
SAN FRANCISCO, CA 94121
",Violation - Data Not Verified,,http://propertymap.sfplanning.org/?&search=1691/019,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Pending - Contracted,2018-04-01T00:00:00,Complied,2013-04-01T00:00:00,,,,,,,,,,32,265.1,631.6,11.7,11.7,739.8,19.8,267.5,634.1,24,265.5,671.6,18.3,18.3,727.7,19.4,266.8,669.5,23,266.5,672.3,19.5,19.5,729.5,19.5,269.5,670,28,272.6,674.9,15.1,15.1,739.7,19.8,269.2,671.3,29,272.6,672.3,14.6,14.6,738.3,19.7,271.7,671.4,23,276,,20.4,,810.77,,276,
0268/001A,Stock Exchange Tower,155 SANSOME ST,94104,72168,Office,"155 SANSOME ST
SAN FRANCISCO, CA 94104
(37.791699, -122.400869)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=0268/001A,Violation - Insufficient Data,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Insufficient Data,,Complied,,Complied,,Complied,,Upcoming,2018-04-01T00:00:00,Complied,2012-11-15T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.1,124,-45.4,,243.39,,37.1,124,,34.2,,-30.4,,224.09,,34.9,
3504/019,74 OTIS ST,74 OTIS ST,94103,29500,Office,"74 OTIS ST
SAN FRANCISCO, CA 94103
(37.772043, -122.41998)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=3504/019,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,,,Complied,2013-04-01T00:00:00,,,,,,,,,,50,57.3,149.8,-1,-1,109.9,4.5,59.7,152.2,72,45.1,117.3,,,81.9,3.3,47,119.2,69,45.6,119,,,83,3.4,49.8,123.4,62,53.4,137.4,,,96.6,3.9,50.7,134.5,,,,,,,,,,,,,,,,,,
0700/006,Japan Center West Mall,1737 Post Street,94115,52462,Mixed Use Property,"1737 Post Street
SAN FRANCISCO, CA 94115
(37.785511, -122.430372)",Complied,,http://propertymap.sfplanning.org/?&search=0700/006,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,Upcoming,2019-04-01T00:00:00,Complied,2014-04-01T00:00:00,,244.7,511.5,315.4,315.4,826.9,15.8,243.8,508.7,,300.9,626.9,409.2,409.2,956.3,21,300.1,624.4,,286.7,634.9,415.7,415.7,875.8,19.8,285.7,632,,285.2,631.9,413.2,413.2,871.5,19.7,288.4,625.4,,309.8,656.3,433.2,433.1,960.2,22,308.7,660.2,,,,,,,,,,,,,,,,,,
5596/053,360 BAY SHORE BLVD,360 BAY SHORE BLVD,94110,14496,,"360 BAY SHORE BLVD
SAN FRANCISCO, CA 94110
(37.741886, -122.406195)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=5596/053,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,,,Did Not Comply,2013-04-01T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3782/003,Dolby Labs Headquarters,999 BRANNAN ST,94103,180000,,"999 BRANNAN ST
SAN FRANCISCO, CA 94103
(37.770362, -122.406617)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=3782/003,Violation - Did Not Report,,Exempt,Exempt - Change of Ownership,Complied,,Complied,,Complied,,Complied,,Complied,,Upcoming,2018-04-01T00:00:00,Complied,2013-04-01T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,78.3,233.8,-13.1,-13.1,1119.5,6.2,79.1,234.7,58,85.3,250,-9.4,-9.4,1208.2,6.7,85.8,252.7,73,86.8,266.4,-20.7,,1349.8,,86.8,268,74,86.6,,-21.7,,1341.79,,85.8,
3514/030,Speyer & Schwartz,1663 MISSION ST,94103,91995,Office,"1663 MISSION ST
SAN FRANCISCO, CA 94103
(37.771253, -122.41956)",Complied,,http://propertymap.sfplanning.org/?&search=3514/030,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Complied,,Complied,,,,Complied,2013-04-01T00:00:00,100,24.3,48.6,-74.7,-74.7,141.9,1.5,26.2,50.6,100,24.9,47.7,-74.8,-74.8,143.3,1.6,27.9,50.9,100,19.7,42.3,-78,-78,123.3,1.3,20.9,43.6,100,22.6,48.5,-74.4,-74.4,141.5,1.5,25,51,100,23.4,46.9,-75.9,-75.9,142.4,1.5,23.8,47.2,,,,,,,,,,100,39,,-73.4,,243.78,,39,
7143/034,Sede Central,1 LAWRENCE AVE,94112,21323,Worship Facility,"1 LAWRENCE AVE
SAN FRANCISCO, CA 94112
(37.709691, -122.451248)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=7143/034,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Upcoming,2019-04-01T00:00:00,Complied,2014-04-01T00:00:00,,,,,,,,,,,12.4,38.9,-68.4,-68.4,13.1,0.9,12.7,39.8,,13.1,41.2,-66.5,-66.5,14.9,1.1,13.5,42.3,,13.1,41.1,-66.6,-66.6,14.8,1.1,13.1,41.1,,14.8,46.6,-62.2,-62.1,18.1,1.3,14.8,46.6,,,,,,,,,,,,,,,,,,
0111/002,LPF 50 Green,50 GREEN ST,94111,104344,Office,"50 GREEN ST
SAN FRANCISCO, CA 94111
(37.800538, -122.40086)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=0111/002,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt - ENERGY STAR,2018-04-01T00:00:00,Exempt - LEED EBOM,2013-04-01T00:00:00,,,,,,,,,,89,49.4,136.4,-44.5,-44.5,416,4,51.6,138.8,90,49,135.1,-45.8,-45.8,390.3,3.7,50,136.1,88,52.7,140.7,-42.9,-42.9,413.1,4,54.7,142.8,88,52.6,136.9,-42.2,-42.2,433.5,4.2,52.7,136.9,87,51.5,143.5,-40.7,,470.51,,51.4,143.4,79,55.8,,-30.9,,490.23,,55.5,
3727/120,1167 MISSION ST,1167 MISSION ST,94103,32000,Office,"1167 MISSION ST
SAN FRANCISCO, CA 94103
(37.777979, -122.412495)",Violation - Insufficient Data,,http://propertymap.sfplanning.org/?&search=3727/120,Violation - Insufficient Data,,Violation - Insufficient Data,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,,,Did Not Comply,2013-04-01T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0315/001,Gunst Building,323 GEARY ST,94102,50993,Office,"323 GEARY ST
SAN FRANCISCO, CA 94102
(37.787313, -122.408612)",Complied,,http://propertymap.sfplanning.org/?&search=0315/001,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Complied,,,,Did Not Comply,2012-11-15T00:00:00,96,35.9,69.9,-57.4,-57.4,115.1,2.3,37.3,71.6,95,38.8,75.4,-53.8,-53.8,133.5,2.6,42.2,79.7,95,37.6,75,-53.9,-53.9,126.5,2.5,39.9,77.6,94,36.4,74.3,-53.4,-53.4,123.5,2.4,39.5,78.5,92,44.6,86.8,-48.5,-48.5,148.6,2.9,43,85.1,87,31.7,106,-40.9,,146.99,,31.7,106,,,,,,,,,
3903/002,Byer California - 1320 Byrant St.,1320 BRYANT ST,94103,63971,Non-Refrigerated Warehouse,"1320 BRYANT ST
SAN FRANCISCO, CA 94103
(37.768716, -122.410795)",Complied,,http://propertymap.sfplanning.org/?&search=3903/002,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Upcoming,2019-04-01T00:00:00,Complied,2014-04-01T00:00:00,87,10.6,27.6,-48.2,-48.2,33.4,0.7,10.6,27.6,74,14.3,36,-30.9,-30.9,49.5,1.1,16,37.8,70,15.2,38,-25.8,-25.8,49.8,1.1,15.2,38,50,24.6,47.3,-0.1,-0.1,72,1.6,24.6,47.3,64,25,47.9,-18.3,-18.3,73.2,1.6,25,47.9,,27.9,60.4,21.3,,70.27,,27.9,60.4,,25.8,,8.6,,67.81,,24.5,
3821/002,180 HUBBELL ST,180 HUBBELL ST,94107,95070,Non-Refrigerated Warehouse,"180 HUBBELL ST
SAN FRANCISCO, CA 94107
(37.767336, -122.397333)",Complied,,http://propertymap.sfplanning.org/?&search=3821/002,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Upcoming,2019-04-01T00:00:00,Complied,2014-04-01T00:00:00,,11.1,32.3,-73.8,-73.8,77.5,0.8,11.3,32.6,,10.7,33.7,-72.6,-72.6,88.6,0.9,10.7,33.7,,11.6,36.3,-70.5,-70.5,89.6,0.9,11.6,36.3,,12.4,39,-68.3,-68.3,96.3,1,12.4,39,,12.4,38.8,-68.5,-68.5,95.9,1,12.4,38.8,,,,,,,,,,,,,,,,,,
3506/004,SF Honda,12 SOUTH VAN NESS AVE,94103,91088,Automobile Dealership,"12 SOUTH VAN NESS AVE
SAN FRANCISCO, CA 94103
(37.774353, -122.419107)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=3506/004,Violation - Did Not Report,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Upcoming,2018-04-01T00:00:00,Complied,2012-11-15T00:00:00,,,,,,,,,,,,,,,,,,,,30.2,91,-30,-30,174.3,2.4,30.4,91.3,,31,94.7,-27.2,-27.2,180.4,2.5,31,94.7,,32,95.4,-26.6,-26.6,183.8,2.5,31.5,94.9,,28.8,91.2,-45.7,,183.36,,28.4,90.1,,30.2,,-32.2,,190.67,,29.8,
0013/006,2770 TAYLOR ST,2770 TAYLOR ST,94133,40017,Mixed Use Property,"2770 TAYLOR ST
SAN FRANCISCO, CA 94133
(37.80791, -122.415745)",Complied,,http://propertymap.sfplanning.org/?&search=0013/006,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,Pending - Submitted,2018-04-01T00:00:00,Complied,2013-04-01T00:00:00,,113.4,229.9,86.7,86.7,289.3,7.2,115.4,231.9,,121.1,240.9,95.7,95.7,306.9,7.7,121.1,240.9,,123.1,246.5,100.2,100.2,312.7,7.8,122.2,243.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3784/085,570 TOWNSEND ST,570 TOWNSEND ST,94103,14625,,"570 TOWNSEND ST
SAN FRANCISCO, CA 94103
(37.772354, -122.401025)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=3784/085,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,,,Did Not Comply,2013-04-01T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0260/009,358 PINE ST,358 PINE ST,94104,18000,Office,"358 PINE ST
SAN FRANCISCO, CA 94104
(37.791974, -122.401983)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=0260/009,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,,,Pending - Contracted,2013-04-01T00:00:00,,,,,,,,,,6,127.2,234.8,84.6,84.6,144,8,127.2,234.8,3,145.2,263.5,,,171.8,9.5,145.6,262.6,3,147.9,264.7,,,173.9,9.7,148.4,262.8,5,147.4,254.4,,,171.1,9.5,147.5,254.4,,,,,,,,,,,,,,,,,,
0320/024,895 GEARY ST,895 GEARY ST,94109,41564,,"895 GEARY ST
SAN FRANCISCO, CA 94109
(37.786132, -122.417884)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=0320/024,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,,,Complied,2014-04-01T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,61.2,114,-8.3,-8.3,131.8,3.9,61.8,115.9,61,64.1,118,-9,-9,137.5,4.1,64.2,118.3,,,,,,,,,,,,,,,,,,
0335/027,Cova Hotel,655 ELLIS ST,94109,95971,Hotel,"655 ELLIS ST
SAN FRANCISCO, CA 94109
(37.784348, -122.416928)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=0335/027,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Upcoming,2019-04-01T00:00:00,Complied,2012-11-15T00:00:00,,,,,,,,,,90,74.1,129.2,-34.8,-34.8,266.6,4.8,74.1,129.2,92,71.6,125.5,-37.8,-37.8,251.1,4.5,73,126.9,90,74.3,128.3,-35.3,-35.3,259.3,4.6,76.7,130.8,92,75.1,127.2,-37.8,-37.8,268.1,4.8,75,127.1,97,55.9,94.7,-48.9,,254.9,,54.7,93.4,,,,,,,,,
3548/031,Walden House,1885 MISSION ST,94103,25543,,"1885 MISSION ST
SAN FRANCISCO, CA 94103
(37.766848, -122.419839)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=3548/031,Exempt,,Exempt,Exempt - Vacant,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,Upcoming,2019-04-01T00:00:00,Complied,2013-04-01T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,18.1,45.5,-73,-73,33.8,1.3,18.1,45.5,98,24.8,57.9,-64.7,-64.7,47.1,1.8,23.5,56.5,98,27.3,59.4,-63.8,,50.1,,26.3,58.3,,,,,,,,,
0260/016,Insurance Exchange Building,433 CALIFORNIA ST,94104,124656,,"433 CALIFORNIA ST
SAN FRANCISCO, CA 94104
(37.792999, -122.401706)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=0260/016,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Insufficient Data,,Complied,,Violation - Insufficient Data,,Upcoming,2019-04-01T00:00:00,Complied,2012-11-15T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.8,,9.5,,690.2,,71.2,
6950/004,Community Assembly of God,355 OCEAN AVE,94112,26554,Worship Facility,"355 OCEAN AVE
SAN FRANCISCO, CA 94112
(37.723008, -122.443872)",Violation - Data Not Verified,,http://propertymap.sfplanning.org/?&search=6950/004,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,Upcoming,2018-04-01T00:00:00,Complied,2013-04-01T00:00:00,,,,,,,,,,98,11.2,19.8,-64.1,-64.1,19.2,0.7,11.6,20.3,98,10.9,19.9,-64,-64,18.5,0.7,11.7,20.7,96,11.1,22.2,-58.5,-58.5,19.5,0.7,13.1,24.5,95,14.1,26.2,-56.5,-56.6,24.9,0.9,13.3,25.4,86,17.3,37.9,-40.9,,33.1,,17,37.6,,,,,,,,,
3526/011,540 Ninth Street Assoc,560 9TH ST,94103,13250,Office,"560 9TH ST
SAN FRANCISCO, CA 94103
(37.770613, -122.407687)",Complied,,http://propertymap.sfplanning.org/?&search=3526/011,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Pending - Contracted,2018-04-01T00:00:00,Complied,2013-04-01T00:00:00,74,43.5,80.7,-25.1,-25.1,35.7,2.7,48.5,85.9,82,39,69.4,-34.3,-34.3,33.5,2.5,48.6,79.4,78,36.4,73.8,-30.2,-30.2,32,2.4,40.8,78.5,76,36.5,74.5,-28.2,-28.2,32.2,2.4,36.5,74.5,66,48.1,91.2,-17.5,-17.5,42.9,3.2,43.1,86,,,,,,,,,,,,,,,,,,
6474/034,765 MORSE ST,5655 Mission St,94112,15444,Worship Facility,"5655 Mission St
SAN FRANCISCO, CA 94112
(37.710535, -122.448085)",Complied,,http://propertymap.sfplanning.org/?&search=6474/034,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Insufficient Data,,Exempt,Exempt - SqFt Not Subject This Year,Pending - Contracted,2018-04-01T00:00:00,Complied,2013-04-01T00:00:00,84,42.1,92.4,-38.8,-38.8,42.6,2.8,43.4,93.7,80,38.2,83.3,-33.9,-33.9,42.1,2.7,41.3,86.5,89,37,80.2,-46.1,-46.1,39,2.5,39.1,82.5,80,34.6,76.2,-33.5,-33.5,36.7,2.4,39,80.8,83,39.2,76,-37.4,-37.4,39.5,2.6,37.1,73.9,,,,,,,,,,,,,,,,,,
3721/122,535 Mission St,535 Mission St,94105,347139,Office,"535 Mission St
SAN FRANCISCO, CA 94105
(37.789064, -122.398466)",Complied,,http://propertymap.sfplanning.org/?&search=3721/122,Complied,,Exempt,Exempt - New Construction,Exempt,Exempt - New Construction,,,,,,,,,Upcoming,2020-04-01T00:00:00,,,98,42.3,111.6,-63.8,-63.8,1001.8,3,43,112.3,98,38.6,102.8,-63.7,-63.7,1027.6,3.1,38.6,102.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3912/003,25 Division,25 DIVISION ST,94103,41777,Office,"25 DIVISION ST
SAN FRANCISCO, CA 94103
(37.769877, -122.402562)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=3912/003,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,Upcoming,2019-04-01T00:00:00,Complied,2013-04-01T00:00:00,,,,,,,,,,85,67,99.6,-38.8,-38.8,168.3,4,67,99.6,83,62.4,102.5,-37,-37,159.5,3.8,62.4,102.5,77,66.7,113.7,-29.1,-29.1,172.9,4.1,68.1,115.1,82,67.2,108.3,-35.6,-35.6,170.6,4.1,66,107,,17.7,41,-73.9,,54.79,,18.7,41.9,,,,,,,,,
0309/017,233 POST ST,233 POST ST,94108,21206,Office,"233 POST ST
SAN FRANCISCO, CA 94108
(37.788627, -122.405763)",Complied,,http://propertymap.sfplanning.org/?&search=0309/017,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,,,Complied,2014-04-01T00:00:00,95,34.1,93,-54,-54,51.6,2.4,34.5,93.4,91,39.1,103.9,-47.7,-47.7,65.5,3.1,39.1,103.9,88,42,115.6,-42.8,-42.8,67.9,3.2,42,115.6,90,38.7,108.3,-45.7,-45.7,63.1,3,38.7,108.3,99,26,68.2,-66.5,-66.5,41.1,1.9,26,68.2,,,,,,,,,,,,,,,,,,
3526/016,290 DIVISION ST,290 DIVISION ST,94103,38072,,"290 DIVISION ST
SAN FRANCISCO, CA 94103
(37.769306, -122.408214)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=3526/016,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,,,Complied,2013-04-01T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3736/025,JAM Properties,572 FOLSOM ST,94105,15460,Office,"572 FOLSOM ST
SAN FRANCISCO, CA 94105
(37.786006, -122.396116)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=3736/025,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,,,Complied,2014-04-01T00:00:00,,,,,,,,,,98,19,58.3,-64.8,-64.8,22,1.4,19,58.3,98,20.3,61.6,-63.4,-63.4,27.7,1.7,20.2,61,96,21.7,65.5,-56.3,-56.3,26.8,1.7,21.7,65.5,98,19.1,57.9,-62.5,-62.5,23.7,1.5,19.1,57.9,,,,,,,,,,,,,,,,,,
0497/010,Redwood Inn,1530 LOMBARD ST,94123,15145,,"1530 LOMBARD ST
SAN FRANCISCO, CA 94123
(37.801072, -122.426773)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=0497/010,Violation - Insufficient Data,,Violation - Insufficient Data,,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Upcoming,2018-04-01T00:00:00,Complied,2013-04-01T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
